iter	MultiClass
0	0.9515016132
1	0.8371677181
2	0.7488235711
3	0.6732425265
4	0.6127804791
5	0.5614697565
6	0.5181901706
7	0.4775476957
8	0.4433499009
9	0.4145792702
10	0.3873216457
11	0.3637158368
12	0.3428260954
13	0.3242897345
14	0.3086797678
15	0.2940040596
16	0.2793775889
17	0.2674255741
18	0.2558171573
19	0.2458642051
20	0.2364779882
21	0.2274719364
22	0.2199408114
23	0.2135347189
24	0.2071710224
25	0.2012522158
26	0.1952851016
27	0.1902376029
28	0.1856386231
29	0.1815099498
30	0.1778926939
31	0.174567886
32	0.1715021473
33	0.1678885165
34	0.1647816731
35	0.1622871989
36	0.1596444115
37	0.15704975
38	0.1545648354
39	0.15163901
40	0.1489655931
41	0.1465750918
42	0.1450365874
43	0.1429502813
44	0.1412717137
45	0.1396769327
46	0.1377281575
47	0.135631682
48	0.1339634385
49	0.1325038794
50	0.1306131372
51	0.1294114943
52	0.1280552361
53	0.1264087479
54	0.1252844296
55	0.1241352691
56	0.1230751222
57	0.1221185385
58	0.1208761415
59	0.119835081
60	0.1183309255
61	0.1171399836
62	0.1160819009
63	0.1149866779
64	0.1137646011
65	0.1123327615
66	0.1111179564
67	0.1101860902
68	0.1088827522
69	0.1080609141
70	0.1070927859
71	0.1058469418
72	0.104498485
73	0.103774588
74	0.1028588839
75	0.1021506183
76	0.1012833034
77	0.1002514083
78	0.09933492906
79	0.09863418831
80	0.09795635228
81	0.09704023469
82	0.09633670356
83	0.09564458637
84	0.09492344479
85	0.09436044021
86	0.09373180325
87	0.09299759674
88	0.09217394226
89	0.09163476781
90	0.09091437626
91	0.09020075997
92	0.08960097244
93	0.08900023705
94	0.08840615497
95	0.08791121354
96	0.08740977946
97	0.08669118402
98	0.08606267678
99	0.08536497436
100	0.08465008174
101	0.08413473254
102	0.08359019326
103	0.08300980034
104	0.08250868579
105	0.08205125454
106	0.08132922777
107	0.08082091306
108	0.08019135641
109	0.07933431746
110	0.07883272256
111	0.07830024949
112	0.07782358561
113	0.07707099494
114	0.07657346206
115	0.07607760523
116	0.07565640992
117	0.07513553116
118	0.07468154478
119	0.07427182464
120	0.07378596044
121	0.07330382757
122	0.07268146338
123	0.07216154134
124	0.07150820599
125	0.07119984023
126	0.07089910404
127	0.07057098861
128	0.07019067649
129	0.06982214448
130	0.06941602665
131	0.06901831279
132	0.06845562323
133	0.06798387229
134	0.06767839839
135	0.06722243392
136	0.06673644888
137	0.06630148349
138	0.06569313403
